Time,
2011-04-05 00:00:00 UTC,4025789.68181818
2011-04-06 00:00:00 UTC,4373787.48341666
2011-04-07 00:00:00 UTC,4387716.9
2011-04-08 00:00:00 UTC,4430494.04633333
2011-04-09 00:00:00 UTC,4388603.36183333
2011-04-11 00:00:00 UTC,4320384.83371428
2011-04-12 00:00:00 UTC,4684253.25789473
2011-04-13 00:00:00 UTC,5080600.5
2011-04-14 00:00:00 UTC,5496925.047
2011-04-15 00:00:00 UTC,5831728.98058334
2011-04-16 00:00:00 UTC,5768555.57596875
2011-04-17 00:00:00 UTC,6113045.79875
2011-04-18 00:00:00 UTC,6792257.74572594
2011-04-19 00:00:00 UTC,6915993.22782499
2011-04-20 00:00:00 UTC,7082520.06675
2011-04-21 00:00:00 UTC,6851521.82219999
2011-04-22 00:00:00 UTC,7185933.90357142
2011-04-23 00:00:00 UTC,8227771.02620452
2011-04-24 00:00:00 UTC,10263463.3285761
2011-04-25 00:00:00 UTC,9917548.52322727
2011-04-26 00:00:00 UTC,9464578.56973334
2011-04-27 00:00:00 UTC,10622861.9784333
2011-04-28 00:00:00 UTC,11366255.1615917
2011-04-29 00:00:00 UTC,13828546.1347229
2011-04-30 00:00:00 UTC,17353648.4242391
2011-05-01 00:00:00 UTC,21212625.0
2011-05-02 00:00:00 UTC,18666284.1204062
2011-05-03 00:00:00 UTC,19455920.0
2011-05-04 00:00:00 UTC,21092831.9228842
2011-05-05 00:00:00 UTC,20839856.6308966
2011-05-06 00:00:00 UTC,20363481.3232692
2011-05-07 00:00:00 UTC,21040085.4626071
2011-05-08 00:00:00 UTC,22389106.39875
2011-05-09 00:00:00 UTC,23367875.8314386
2011-05-10 00:00:00 UTC,23604158.659375
2011-05-11 00:00:00 UTC,34833763.3888636
2011-05-12 00:00:00 UTC,33192698.7846177
2011-05-13 00:00:00 UTC,39996786.4288195
2011-05-14 00:00:00 UTC,50119097.4721201
2011-05-15 00:00:00 UTC,45163694.8320824
2011-05-16 00:00:00 UTC,46031575.2446307
2011-05-17 00:00:00 UTC,49137594.2642872
2011-05-18 00:00:00 UTC,45400508.0309083
2011-05-19 00:00:00 UTC,42580312.0097817
2011-05-20 00:00:00 UTC,43644766.501929
2011-05-22 00:00:00 UTC,38667622.8555978
2011-05-23 00:00:00 UTC,42540092.9172692
2011-05-24 00:00:00 UTC,45128712.253725
2011-05-25 00:00:00 UTC,46837352.4497385
2011-05-26 00:00:00 UTC,52540648.099931
2011-05-27 00:00:00 UTC,55504793.6650001
2011-05-28 00:00:00 UTC,54272474.8138833
2011-05-29 00:00:00 UTC,53226080.8890689
2011-05-30 00:00:00 UTC,53183674.40625
2011-05-31 00:00:00 UTC,55969135.046638
2011-06-01 00:00:00 UTC,54724724.8754633
2011-06-02 00:00:00 UTC,61459424.5843133
2011-06-03 00:00:00 UTC,69143370.3869423
2011-06-04 00:00:00 UTC,90956709.3846026
2011-06-05 00:00:00 UTC,118617094.115657
2011-06-06 00:00:00 UTC,107476121.844009
2011-06-07 00:00:00 UTC,119799656.366734
2011-06-08 00:00:00 UTC,149913065.1744
2011-06-09 00:00:00 UTC,195000465.371188
2011-06-10 00:00:00 UTC,186197716.336704
2011-06-11 00:00:00 UTC,155523796.377076
2011-06-12 00:00:00 UTC,96878911.6375575
2011-06-13 00:00:00 UTC,119592053.173986
2011-06-14 00:00:00 UTC,130687879.202342
2011-06-15 00:00:00 UTC,129383146.434098
2011-06-16 00:00:00 UTC,126817284.742486
2011-06-17 00:00:00 UTC,113302652.070525
2011-06-18 00:00:00 UTC,105496592.975688
2011-06-19 00:00:00 UTC,113922335.615988
2011-06-21 00:00:00 UTC,
2011-06-22 00:00:00 UTC,
2011-06-23 00:00:00 UTC,
2011-06-24 00:00:00 UTC,
2011-06-25 00:00:00 UTC,
2011-06-26 00:00:00 UTC,
2011-06-27 00:00:00 UTC,
2011-06-28 00:00:00 UTC,
2011-06-29 00:00:00 UTC,
2011-06-30 00:00:00 UTC,
2011-07-01 00:00:00 UTC,
2011-07-02 00:00:00 UTC,
2011-07-03 00:00:00 UTC,
2011-07-04 00:00:00 UTC,
2011-07-05 00:00:00 UTC,
2011-07-06 00:00:00 UTC,
2011-07-07 00:00:00 UTC,
2011-07-08 00:00:00 UTC,
2011-07-09 00:00:00 UTC,
2011-07-10 00:00:00 UTC,
2011-07-11 00:00:00 UTC,
2011-07-12 00:00:00 UTC,
2011-07-13 00:00:00 UTC,
2011-07-14 00:00:00 UTC,
2011-07-15 00:00:00 UTC,
2011-07-16 00:00:00 UTC,
2011-07-17 00:00:00 UTC,
2011-07-18 00:00:00 UTC,
2011-07-19 00:00:00 UTC,
2011-07-20 00:00:00 UTC,
2011-07-21 00:00:00 UTC,
2011-07-22 00:00:00 UTC,
2011-07-23 00:00:00 UTC,
2011-07-24 00:00:00 UTC,
2011-07-25 00:00:00 UTC,
2011-07-26 00:00:00 UTC,
2011-07-27 00:00:00 UTC,
2011-07-28 00:00:00 UTC,
2011-07-29 00:00:00 UTC,
2011-07-30 00:00:00 UTC,
2011-07-31 00:00:00 UTC,
2011-08-01 00:00:00 UTC,
2011-08-02 00:00:00 UTC,
2011-08-03 00:00:00 UTC,
2011-08-04 00:00:00 UTC,
2011-08-05 00:00:00 UTC,
2011-08-06 00:00:00 UTC,
2011-08-07 00:00:00 UTC,
2011-08-08 00:00:00 UTC,
2011-08-09 00:00:00 UTC,
2011-08-10 00:00:00 UTC,
2011-08-11 00:00:00 UTC,
2011-08-12 00:00:00 UTC,
2011-08-13 00:00:00 UTC,
2011-08-14 00:00:00 UTC,
2011-08-15 00:00:00 UTC,
2011-08-16 00:00:00 UTC,
2011-08-17 00:00:00 UTC,
2011-08-18 00:00:00 UTC,
2011-08-19 00:00:00 UTC,
2011-08-20 00:00:00 UTC,
2011-08-21 00:00:00 UTC,
2011-08-22 00:00:00 UTC,
2011-08-23 00:00:00 UTC,
2011-08-24 00:00:00 UTC,
2011-08-25 00:00:00 UTC,
2011-08-26 00:00:00 UTC,
2011-08-27 00:00:00 UTC,
2011-08-28 00:00:00 UTC,
